City,Mean daily maximum °C (°F)Jan,Daily mean °C (°F)Jan,Mean daily minimum °C (°F)Jan,Mean daily maximum °C (°F)Feb,Daily mean °C (°F)Feb,Mean daily minimum °C (°F)Feb,Mean daily maximum °C (°F)Mar,Daily mean °C (°F)Mar,Mean daily minimum °C (°F)Mar,Mean daily maximum °C (°F)Apr,Daily mean °C (°F)Apr,Mean daily minimum °C (°F)Apr,Mean daily maximum °C (°F)May,Daily mean °C (°F)May,Mean daily minimum °C (°F)May,Mean daily maximum °C (°F)Jun,Daily mean °C (°F)Jun,Mean daily minimum °C (°F)Jun,Mean daily maximum °C (°F)Jul,Daily mean °C (°F)Jul,Mean daily minimum °C (°F)Jul,Mean daily maximum °C (°F)Aug,Daily mean °C (°F)Aug,Mean daily minimum °C (°F)Aug,Mean daily maximum °C (°F)Sep,Daily mean °C (°F)Sep,Mean daily minimum °C (°F)Sep,Mean daily maximum °C (°F)Oct,Daily mean °C (°F)Oct,Mean daily minimum °C (°F)Oct,Mean daily maximum °C (°F)Nov,Daily mean °C (°F)Nov,Mean daily minimum °C (°F)Nov,Mean daily maximum °C (°F)Dec,Daily mean °C (°F)Dec,Mean daily minimum °C (°F)Dec,Mean daily maximum °C (°F)Year,Daily mean °C (°F)Year
Lisbon,14.8,11.6,8.3,16.2,12.7,9.1,18.8,14.9,11.0,19.8,15.9,11.9,22.1,18.0,13.9,25.7,21.2,16.6,27.9,23.1,18.2,28.3,23.5,18.6,26.5,22.1,17.6,22.5,18.8,15.1,18.2,15.0,11.8,15.3,12.4,9.4,21.3,17.4
Porto,13.8,9.5,5.2,15.0,10.4,5.9,17.4,12.6,7.8,18.1,13.7,9.1,20.1,15.9,11.6,23.5,19.0,14.5,25.3,20.6,15.9,25.7,20.8,15.9,24.1,19.5,14.7,20.7,16.4,12.2,17.1,13.0,8.9,14.4,10.7,6.9,19.6,15.2
Braga,13.7,9.0,4.3,14.8,9.9,4.9,17.6,12.3,7.0,18.3,13.2,7.9,21.1,15.8,10.4,25.4,19.5,13.5,27.8,21.4,14.9,28.0,21.4,14.7,25.5,19.4,13.2,20.9,15.9,10.8,16.8,12.3,7.7,14.4,10.2,6.0,20.3,15.0
Coimbra,14.8,9.9,5.0,16.2,11.0,5.8,18.9,13.3,7.6,19.9,14.5,9.1,22.4,16.9,11.4,26.2,20.3,14.3,28.4,21.9,15.6,28.7,21.9,15.1,27.3,20.7,14.1,22.7,17.2,11.8,18.0,13.3,8.6,15.4,11.0,6.5,21.6,16.0
Funchal,19.8,17.2,14.6,19.8,17.0,14.1,20.4,17.5,14.5,20.9,18.0,15.1,22.1,19.2,16.3,23.8,21.1,18.3,25.6,22.7,19.8,26.8,23.9,20.9,26.5,23.6,20.6,25.1,22.2,19.3,22.6,19.9,17.2,20.8,18.3,15.7,22.8,20.1
Setúbal,15.3,10.1,4.8,16.7,11.3,5.8,19.4,13.5,7.6,20.5,14.8,9.1,23.4,17.4,11.4,27.4,20.9,14.3,29.9,23.1,16.2,30.1,23.2,16.3,27.8,21.3,14.8,23.3,17.9,12.4,18.8,13.9,9.0,15.9,11.3,6.6,22.4,16.6
Viseu,11.9,7.1,2.2,13.8,8.6,3.3,16.9,11.0,5.2,17.6,11.9,6.2,20.6,14.7,8.8,26.2,19.0,11.7,29.6,21.7,13.8,29.6,21.6,13.5,26.1,19.0,11.9,20.1,14.7,9.1,15.1,10.6,6.0,12.7,8.5,4.2,20.0,14.0
Leiria,14.2,10.8,7.4,15.1,11.4,7.8,17.1,13.3,9.5,18.9,14.9,10.9,20.6,16.6,12.6,23.5,19.1,14.8,25.3,20.7,16.1,25.9,21.1,16.3,24.2,19.9,15.7,21.6,17.6,13.6,17.2,13.7,10.3,14.6,11.3,8.1,19.9,15.9
Portimão,15.9,12.0,8.2,16.6,12.6,8.6,17.8,13.8,9.9,19.7,15.4,11.1,22.2,17.6,13.0,25.3,20.4,15.6,28.4,22.9,17.5,28.8,23.4,18.0,26.3,21.6,16.9,22.9,18.8,14.7,19.0,15.1,11.3,16.6,12.7,8.8,21.6,17.2
Évora,13.4,9.6,5.8,14.7,10.7,6.7,18.0,13.3,8.6,19.1,14.3,9.5,22.6,17.1,11.7,27.9,21.4,14.8,31.1,23.9,16.6,31.1,24.1,17.0,27.8,21.9,16.0,22.2,17.7,13.2,17.1,13.4,9.7,13.8,10.5,7.1,21.6,16.5
Covilhã,9.4,6.2,3.1,11.2,7.4,3.6,13.5,9.5,5.6,16.4,11.8,7.2,19.2,14.3,9.5,24.7,19.1,13.5,28.1,21.9,15.7,28.4,22.2,16.0,24.4,19.1,13.9,18.9,14.7,10.5,13.1,9.7,6.3,9.8,6.7,3.6,18.1,13.6
Lagos,14.9,11.5,8.5,15.4,11.9,8.8,17.2,13.6,10.4,18.9,15.2,11.9,22.1,17.8,14.0,25.5,20.7,16.6,27.3,22.0,17.6,28.1,22.7,18.3,25.9,21.1,17.4,22.3,18.6,15.4,17.8,14.4,11.5,15.8,12.5,9.7,20.9,16.8
Abrantes,15.0,9.1,3.2,16.2,9.9,3.6,20.1,12.8,5.5,21.7,14.6,7.5,24.7,17.5,10.3,28.7,20.7,12.7,32.0,23.0,14.0,32.8,23.5,14.2,29.9,21.1,12.3,24.3,17.2,10.1,18.8,12.7,6.6,15.4,10.1,4.8,23.3,16.0
Elvas,13.6,8.7,3.8,15.5,10.1,4.8,19.2,13.1,7.0,20.7,14.6,8.6,24.8,18.0,11.3,30.5,22.8,15.0,34.1,25.5,16.9,33.9,25.5,17.1,29.9,22.6,15.3,23.5,17.8,12.1,17.8,12.9,8.0,14.1,9.8,5.5,23.1,16.8
Tavira,15.4,11.0,6.6,16.1,11.8,7.6,18.8,14.1,9.5,20.7,15.4,10.1,22.5,17.8,13.1,27.6,22.4,16.2,31.0,26.0,20.2,30.3,25.2,19.7,27.2,21.8,16.3,22.0,17.7,13.3,19.2,15.0,10.9,16.5,12.9,9.2,22.3,17.6
Sines,14.8,11.5,8.3,15.7,12.2,8.7,18.6,14.7,10.9,18.6,14.7,10.9,21.0,16.9,12.9,23.6,19.4,15.2,24.8,20.5,16.2,25.4,21.1,16.7,23.9,19.9,16.0,21.5,18.0,14.5,17.8,14.6,11.3,15.5,12.5,9.4,20.0,16.3
Mirandela,9.9,5.5,1.2,13.5,7.9,2.2,17.0,10.4,3.8,18.8,12.4,6.1,22.7,15.9,9.1,27.9,20.4,12.9,31.8,23.7,15.6,31.8,23.4,15.0,27.9,20.3,12.6,21.1,15.0,8.7,14.8,9.8,4.7,11.3,7.1,2.9,20.7,14.3
Machico,18.0,16.0,14.0,18.0,16.0,14.0,18.0,16.0,14.0,19.0,17.0,14.0,21.0,18.0,16.0,23.0,21.0,17.0,24.0,22.0,19.0,25.0,23.0,20.0,25.0,23.0,20.0,23.0,21.0,19.0,21.0,19.0,17.0,20.0,18.0,15.0,21.0,19.0
